vehicle_id,vehicle_type,date,zone,zone_lat,zone_lon,demand_score,trip_count,battery_level_start,battery_level_end,charge_minutes,idle_minutes,downtime_wait_minutes,charger_distance_km,revenue_per_trip,downtime_cost,is_weekend,total_revenue,net_revenue
ER-1000,Standard E-Rick,2024-02-28,Katraj,18.44212,73.85563,0.55,12,87.0,15.7,93,75,17,1.73,32.79,13.94,0,393.48,379.54
ER-1000,Standard E-Rick,2024-02-29,Katraj,18.44598,73.87869,0.525,8,61.4,10.4,95,22,12,2.19,49.39,14.82,0,395.12,380.3
ER-1001,Premium E-Rick,2024-01-01,Bibwewadi,18.4678,73.86052,0.58,9,75.4,42.2,54,34,19,2.63,54.72,25.99,0,492.48,466.49
ER-1001,Premium E-Rick,2024-01-02,Bibwewadi,18.48492,73.81579,0.517,10,80.3,30.6,59,50,45,6.31,46.27,52.06,0,462.70000000000005,410.64000000000004
ER-1001,Premium E-Rick,2024-01-03,Bibwewadi,18.47623,73.84718,0.48,7,69.1,37.7,86,23,33,3.85,40.33,33.27,0,282.31,249.04
ER-1001,Premium E-Rick,2024-01-04,Bibwewadi,18.4401,73.85149,0.622,12,67.5,24.4,66,63,23,2.16,64.1,36.86,0,769.1999999999999,732.3399999999999
ER-1001,Premium E-Rick,2024-01-05,Bibwewadi,18.49478,73.86704,0.674,17,66.5,5.0,100,37,53,7.37,64.82,85.88,0,1101.9399999999998,1016.0599999999998
ER-1001,Premium E-Rick,2024-01-06,Bibwewadi,18.44125,73.85125,0.436,10,92.0,38.9,92,48,25,2.75,33.81,21.13,1,338.1,316.97
ER-1001,Premium E-Rick,2024-01-07,Bibwewadi,18.4516,73.85595,0.466,6,88.3,54.0,75,82,39,4.87,39.97,38.97,1,239.82,200.85
ER-1001,Premium E-Rick,2024-01-08,Bibwewadi,18.46496,73.83376,0.605,9,60.2,28.2,113,60,11,1.28,79.78,21.94,0,718.02,696.0799999999999
ER-1001,Premium E-Rick,2024-01-09,Bibwewadi,18.48339,73.85058,0.588,10,83.8,39.9,77,78,8,0.44,44.7,8.94,0,447.0,438.06
ER-1001,Premium E-Rick,2024-01-10,Bibwewadi,18.47126,73.84697,0.532,8,75.8,31.6,101,59,42,6.14,54.86,57.6,0,438.88,381.28
ER-1001,Premium E-Rick,2024-01-11,Bibwewadi,18.46078,73.87157,0.554,11,76.3,34.7,83,47,45,5.56,84.17,94.69,0,925.87,831.1800000000001
ER-1001,Premium E-Rick,2024-01-12,Bibwewadi,18.49142,73.83308,0.507,5,89.3,58.7,50,56,34,6.01,74.52,63.34,0,372.59999999999997,309.26
ER-1001,Premium E-Rick,2024-01-13,Bibwewadi,18.49431,73.8486,0.48,8,91.9,61.5,67,72,13,0.48,52.58,17.09,1,420.64,403.55
ER-1001,Premium E-Rick,2024-01-14,Bibwewadi,18.46847,73.85418,0.52,11,84.3,26.7,77,62,57,7.5,42.83,61.04,1,471.13,410.09
ER-1001,Premium E-Rick,2024-01-15,Bibwewadi,18.4576,73.86247,0.601,12,87.4,33.2,90,37,8,1.06,79.82,15.96,0,957.8399999999999,941.8799999999999
ER-1001,Premium E-Rick,2024-01-16,Bibwewadi,18.43862,73.84982,0.493,9,78.7,40.2,75,53,61,7.69,58.98,89.95,0,530.8199999999999,440.86999999999995
ER-1001,Premium E-Rick,2024-01-17,Bibwewadi,18.48667,73.84353,0.582,11,95.1,26.8,102,88,55,7.64,39.65,54.52,0,436.15,381.63
ER-1001,Premium E-Rick,2024-01-18,Bibwewadi,18.45507,73.85718,0.4,4,84.7,64.2,36,37,17,1.53,63.78,27.11,0,255.12,228.01
ER-1001,Premium E-Rick,2024-01-19,Bibwewadi,18.46905,73.83386,0.477,10,90.4,32.2,105,85,8,1.23,37.63,7.53,0,376.3,368.77000000000004
ER-1001,Premium E-Rick,2024-01-20,Bibwewadi,18.48845,73.82179,0.45,9,78.0,39.9,86,79,51,7.03,60.89,77.64,1,548.01,470.37
ER-1001,Premium E-Rick,2024-01-21,Bibwewadi,18.46914,73.85009,0.485,7,95.5,54.7,51,54,37,4.38,55.69,51.51,1,389.83,338.32
ER-1001,Premium E-Rick,2024-01-22,Bibwewadi,18.47117,73.8633,0.636,15,98.1,38.3,82,34,22,2.25,38.63,21.25,0,579.45,558.2
ER-1001,Premium E-Rick,2024-01-23,Bibwewadi,18.47478,73.85716,0.639,15,76.0,5.0,119,89,34,6.6,57.54,48.91,0,863.1,814.19
ER-1001,Premium E-Rick,2024-01-24,Bibwewadi,18.45296,73.84835,0.507,8,73.7,26.6,121,72,59,6.41,82.13,121.14,0,657.04,535.9
ER-1001,Premium E-Rick,2024-01-25,Bibwewadi,18.47725,73.835,0.597,9,71.2,38.1,88,29,11,1.47,53.44,14.7,0,480.96,466.26
ER-1001,Premium E-Rick,2024-01-26,Bibwewadi,18.47362,73.85948,0.517,12,86.4,22.8,99,86,24,2.94,68.85,41.31,0,826.1999999999999,784.8899999999999
ER-1001,Premium E-Rick,2024-01-27,Bibwewadi,18.48772,73.84835,0.398,8,90.0,38.2,69,66,28,2.63,52.0,36.4,1,416.0,379.6
ER-1001,Premium E-Rick,2024-01-28,Bibwewadi,18.46804,73.8551,0.538,12,80.4,5.7,125,65,21,2.94,55.98,29.39,1,671.76,642.37
ER-1001,Premium E-Rick,2024-01-29,Bibwewadi,18.45268,73.85078,0.654,12,86.5,43.8,48,33,42,6.29,45.53,47.81,0,546.36,498.55
ER-1001,Premium E-Rick,2024-01-30,Bibwewadi,18.4353,73.85054,0.578,10,71.3,16.1,105,34,25,4.47,83.71,52.32,0,837.0999999999999,784.7799999999999
ER-1001,Premium E-Rick,2024-01-31,Bibwewadi,18.45963,73.86209,0.6,14,99.0,33.3,72,21,27,3.38,65.18,44.0,0,912.5200000000001,868.5200000000001
ER-1001,Premium E-Rick,2024-02-01,Bibwewadi,18.45367,73.85656,0.654,11,81.8,27.1,88,43,14,2.18,82.14,28.75,0,903.54,874.79
ER-1001,Premium E-Rick,2024-02-02,Bibwewadi,18.47467,73.84769,0.501,9,90.5,46.0,44,36,44,5.27,46.13,50.75,0,415.17,364.42
ER-1001,Premium E-Rick,2024-02-03,Bibwewadi,18.46505,73.83328,0.626,11,94.4,50.4,58,43,58,6.44,39.68,57.53,1,436.48,378.95000000000005
ER-1001,Premium E-Rick,2024-02-04,Bibwewadi,18.46573,73.85649,0.492,6,67.7,43.9,87,63,67,7.48,35.96,60.24,1,215.76,155.51999999999998
ER-1001,Premium E-Rick,2024-02-05,Bibwewadi,18.47992,73.85271,0.605,12,86.5,40.5,48,32,25,3.56,59.27,37.04,0,711.24,674.2
ER-1001,Premium E-Rick,2024-02-06,Bibwewadi,18.47579,73.83354,0.548,13,63.8,5.0,128,42,33,3.85,34.98,28.86,0,454.73999999999995,425.87999999999994
ER-1001,Premium E-Rick,2024-02-07,Bibwewadi,18.46953,73.85118,0.656,10,92.8,45.3,78,72,46,6.47,80.47,92.54,0,804.7,712.1600000000001
ER-1001,Premium E-Rick,2024-02-08,Bibwewadi,18.46395,73.87657,0.691,13,81.4,33.2,86,20,28,3.66,34.08,23.86,0,443.03999999999996,419.17999999999995
ER-1001,Premium E-Rick,2024-02-09,Bibwewadi,18.46893,73.85056,0.592,11,94.4,28.8,81,77,7,1.01,72.08,12.61,0,792.88,780.27
ER-1001,Premium E-Rick,2024-02-10,Bibwewadi,18.46224,73.86529,0.503,10,78.6,32.6,50,34,52,6.09,36.85,47.9,1,368.5,320.6
ER-1001,Premium E-Rick,2024-02-11,Bibwewadi,18.43124,73.82873,0.592,12,99.6,52.7,48,51,26,3.33,84.93,55.21,1,1019.1600000000001,963.95
ER-1001,Premium E-Rick,2024-02-12,Bibwewadi,18.46255,73.83276,0.505,9,71.6,20.2,80,58,62,6.68,33.64,52.14,0,302.76,250.62
ER-1001,Premium E-Rick,2024-02-13,Bibwewadi,18.44819,73.86282,0.447,8,76.7,30.6,59,59,27,3.27,60.41,40.78,0,483.28,442.5
ER-1001,Premium E-Rick,2024-02-14,Bibwewadi,18.48311,73.84615,0.536,11,60.0,14.5,97,65,12,1.62,57.6,17.28,0,633.6,616.32
ER-1001,Premium E-Rick,2024-02-15,Bibwewadi,18.4743,73.84846,0.66,17,83.4,14.0,89,34,1,1.06,55.05,1.38,0,935.8499999999999,934.4699999999999
ER-1001,Premium E-Rick,2024-02-16,Bibwewadi,18.4573,73.81022,0.548,9,74.4,41.4,104,38,37,5.0,80.22,74.2,0,721.98,647.78
ER-1001,Premium E-Rick,2024-02-17,Bibwewadi,18.45449,73.85786,0.4,4,84.8,69.3,56,72,54,6.61,86.07,116.2,1,344.28,228.07999999999998
ER-1001,Premium E-Rick,2024-02-18,Bibwewadi,18.45611,73.8504,0.568,10,83.1,23.9,83,88,33,4.14,53.69,44.29,1,536.9,492.60999999999996
ER-1001,Premium E-Rick,2024-02-19,Bibwewadi,18.46182,73.82288,0.646,14,64.1,5.0,98,45,32,3.45,66.42,53.14,0,929.88,876.74
ER-1001,Premium E-Rick,2024-02-20,Bibwewadi,18.46742,73.87609,0.586,8,78.0,36.4,64,66,33,4.57,50.89,41.98,0,407.12,365.14
ER-1001,Premium E-Rick,2024-02-21,Bibwewadi,18.47775,73.8589,0.561,13,75.6,21.7,87,72,14,2.28,82.33,28.82,0,1070.29,1041.47
ER-1001,Premium E-Rick,2024-02-22,Bibwewadi,18.46473,73.8679,0.723,17,75.7,5.0,104,20,12,0.6,62.61,18.78,0,1064.37,1045.59
ER-1001,Premium E-Rick,2024-02-23,Bibwewadi,18.47055,73.84341,0.426,4,78.6,64.6,46,43,66,7.07,62.74,103.53,0,250.96,147.43
ER-1001,Premium E-Rick,2024-02-24,Bibwewadi,18.43673,73.85921,0.478,5,81.5,49.5,36,79,9,1.74,79.66,17.92,1,398.29999999999995,380.37999999999994
ER-1001,Premium E-Rick,2024-02-25,Bibwewadi,18.45787,73.85606,0.57,10,99.3,46.1,83,45,22,3.52,75.16,41.34,1,751.5999999999999,710.2599999999999
ER-1001,Premium E-Rick,2024-02-26,Bibwewadi,18.44456,73.85343,0.645,16,61.0,5.0,91,68,9,1.56,52.56,11.83,0,840.96,829.13
ER-1001,Premium E-Rick,2024-02-27,Bibwewadi,18.47418,73.87789,0.677,14,68.6,13.7,114,44,12,1.05,54.09,16.23,0,757.26,741.03
ER-1001,Premium E-Rick,2024-02-28,Bibwewadi,18.50265,73.8549,0.637,14,94.9,19.2,84,50,1,0.58,85.9,2.15,0,1202.6000000000001,1200.45
ER-1001,Premium E-Rick,2024-02-29,Bibwewadi,18.47499,73.84436,0.541,12,96.1,52.5,65,78,13,1.2,77.32,25.13,0,927.8399999999999,902.7099999999999
ER-1002,Cargo E-Rick,2024-01-01,Wakad,18.5841,73.77993,0.659,9,75.9,32.4,94,87,19,2.69,41.44,19.69,0,372.96,353.27
ER-1002,Cargo E-Rick,2024-01-02,Wakad,18.60366,73.76437,0.8,13,93.2,9.6,114,86,12,1.28,53.65,16.09,0,697.4499999999999,681.3599999999999
ER-1002,Cargo E-Rick,2024-01-03,Wakad,18.60605,73.74626,0.818,14,79.3,11.1,104,45,32,3.31,31.64,25.31,0,442.96000000000004,417.65000000000003
ER-1002,Cargo E-Rick,2024-01-04,Wakad,18.57985,73.77774,0.646,12,61.4,13.7,75,88,14,1.98,72.0,25.2,0,864.0,838.8
ER-1002,Cargo E-Rick,2024-01-05,Wakad,18.59472,73.79345,0.674,9,62.5,25.8,99,83,35,4.44,37.49,32.8,0,337.41,304.61
ER-1002,Cargo E-Rick,2024-01-06,Wakad,18.59786,73.76586,0.47,9,73.9,40.0,105,50,60,7.58,64.23,96.34,1,578.07,481.73
ER-1002,Cargo E-Rick,2024-01-07,Wakad,18.58798,73.73547,0.707,10,86.9,38.9,87,70,11,1.6,36.83,10.13,1,368.29999999999995,358.16999999999996
ER-1002,Cargo E-Rick,2024-01-08,Wakad,18.62258,73.75784,0.719,10,77.5,12.6,86,53,30,3.55,55.87,41.9,0,558.6999999999999,516.8
ER-1002,Cargo E-Rick,2024-01-09,Wakad,18.62301,73.75829,0.723,15,78.8,5.0,105,24,52,6.63,64.74,84.17,0,971.0999999999999,886.93
ER-1002,Cargo E-Rick,2024-01-10,Wakad,18.6016,73.7407,0.884,13,73.9,5.0,128,87,27,3.16,66.17,44.66,0,860.21,815.5500000000001
ER-1002,Cargo E-Rick,2024-01-11,Wakad,18.63244,73.73814,0.591,6,89.8,66.4,57,63,47,6.05,40.81,47.95,0,244.86,196.91000000000003
ER-1002,Cargo E-Rick,2024-01-12,Wakad,18.5804,73.76493,0.669,13,71.7,5.5,115,73,41,5.75,44.81,45.93,0,582.53,536.6
ER-1002,Cargo E-Rick,2024-01-13,Wakad,18.61168,73.74228,0.609,7,65.1,29.0,69,24,33,4.0,63.16,52.1,1,442.12,390.02
ER-1002,Cargo E-Rick,2024-01-14,Wakad,18.60299,73.76102,0.55,6,74.4,50.3,56,47,17,2.16,42.75,18.17,1,256.5,238.32999999999998
ER-1002,Cargo E-Rick,2024-01-15,Wakad,18.58198,73.71875,0.744,12,74.8,24.3,94,85,31,4.13,68.76,53.29,0,825.1200000000001,771.8300000000002
ER-1002,Cargo E-Rick,2024-01-16,Wakad,18.60564,73.77472,0.681,9,91.7,47.7,80,21,34,3.97,47.15,40.07,0,424.34999999999997,384.28
ER-1002,Cargo E-Rick,2024-01-17,Wakad,18.60455,73.75843,0.607,13,69.0,5.0,88,89,54,7.02,42.77,57.75,0,556.01,498.26
ER-1002,Cargo E-Rick,2024-01-18,Wakad,18.59552,73.73936,0.809,11,73.8,16.9,107,31,10,1.8,72.62,18.15,0,798.82,780.6700000000001
ER-1002,Cargo E-Rick,2024-01-19,Wakad,18.5869,73.75048,0.65,8,67.0,19.5,94,83,6,1.38,66.28,9.94,0,530.24,520.3
ER-1002,Cargo E-Rick,2024-01-20,Wakad,18.58206,73.76044,0.502,7,77.2,43.6,68,74,49,6.24,67.25,82.38,1,470.75,388.37
ER-1002,Cargo E-Rick,2024-01-21,Wakad,18.56583,73.77414,0.677,5,61.5,40.9,68,76,7,0.99,63.11,11.04,1,315.55,304.51
ER-1002,Cargo E-Rick,2024-01-22,Wakad,18.60458,73.78367,0.621,8,79.2,30.5,80,68,65,7.87,46.96,76.31,0,375.68,299.37
ER-1002,Cargo E-Rick,2024-01-23,Wakad,18.59773,73.75424,0.615,9,63.9,19.8,74,32,33,3.87,65.41,53.97,0,588.6899999999999,534.7199999999999
ER-1002,Cargo E-Rick,2024-01-24,Wakad,18.5896,73.76866,0.723,10,70.2,31.1,72,48,7,2.03,46.76,8.18,0,467.59999999999997,459.41999999999996
ER-1002,Cargo E-Rick,2024-01-25,Wakad,18.5827,73.74754,0.704,12,68.4,5.0,130,79,18,2.05,68.77,30.95,0,825.24,794.29
ER-1002,Cargo E-Rick,2024-01-26,Wakad,18.60855,73.72379,0.712,10,91.2,28.1,59,50,55,7.05,63.0,86.63,0,630.0,543.37
ER-1002,Cargo E-Rick,2024-01-27,Wakad,18.60904,73.75422,0.647,6,80.1,50.0,77,47,48,6.36,39.6,47.52,1,237.60000000000002,190.08
ER-1002,Cargo E-Rick,2024-01-28,Wakad,18.62797,73.77787,0.576,5,91.8,59.9,59,84,57,7.88,58.0,82.65,1,290.0,207.35
ER-1002,Cargo E-Rick,2024-01-29,Wakad,18.59759,73.73577,0.644,10,95.0,51.5,47,46,63,7.85,42.16,66.41,0,421.59999999999997,355.18999999999994
ER-1002,Cargo E-Rick,2024-01-30,Wakad,18.6106,73.75193,0.779,12,93.2,50.3,37,69,43,4.64,30.59,32.89,0,367.08,334.19
ER-1002,Cargo E-Rick,2024-01-31,Wakad,18.60715,73.75301,0.72,10,97.8,61.3,22,80,49,6.04,38.15,46.73,0,381.5,334.77
ER-1002,Cargo E-Rick,2024-02-01,Wakad,18.5942,73.7639,0.89,9,61.1,5.0,106,64,49,6.03,50.38,61.71,0,453.42,391.71000000000004
ER-1002,Cargo E-Rick,2024-02-02,Wakad,18.59307,73.76909,0.782,11,92.5,42.4,78,29,62,7.79,71.33,110.56,0,784.63,674.0699999999999
ER-1002,Cargo E-Rick,2024-02-03,Wakad,18.6021,73.76056,0.488,9,64.8,31.4,111,25,5,1.32,55.27,6.91,1,497.43,490.52
ER-1002,Cargo E-Rick,2024-02-04,Wakad,18.60267,73.75417,0.588,8,80.9,35.8,69,44,30,3.9,65.44,49.08,1,523.52,474.44
ER-1002,Cargo E-Rick,2024-02-05,Wakad,18.58938,73.75072,0.818,13,73.2,5.0,102,25,47,6.19,38.18,44.86,0,496.34,451.47999999999996
ER-1002,Cargo E-Rick,2024-02-06,Wakad,18.58934,73.75055,0.647,8,71.6,30.3,109,62,41,5.1,60.6,62.11,0,484.8,422.69
ER-1002,Cargo E-Rick,2024-02-07,Wakad,18.58157,73.78559,0.615,7,76.4,50.0,72,50,45,6.02,63.74,71.71,0,446.18,374.47
ER-1002,Cargo E-Rick,2024-02-08,Wakad,18.58625,73.77032,0.79,12,79.7,18.6,80,71,7,0.85,50.63,8.86,0,607.5600000000001,598.7
ER-1002,Cargo E-Rick,2024-02-09,Wakad,18.57322,73.75511,0.797,14,78.0,21.4,109,26,3,0.3,64.15,4.81,0,898.1000000000001,893.2900000000002
ER-1002,Cargo E-Rick,2024-02-10,Wakad,18.57219,73.76716,0.569,8,97.6,65.6,40,42,39,5.24,63.7,62.11,1,509.6,447.49
ER-1002,Cargo E-Rick,2024-02-11,Wakad,18.61097,73.77399,0.595,9,94.0,35.5,47,40,18,2.23,55.37,24.92,1,498.33,473.40999999999997
ER-1002,Cargo E-Rick,2024-02-12,Wakad,18.62438,73.74686,0.739,10,94.4,31.4,100,56,57,6.71,48.67,69.36,0,486.70000000000005,417.34000000000003
ER-1002,Cargo E-Rick,2024-02-13,Wakad,18.62317,73.74649,0.682,11,70.8,21.7,100,59,34,4.19,47.19,40.11,0,519.0899999999999,478.9799999999999
ER-1002,Cargo E-Rick,2024-02-14,Wakad,18.61092,73.75038,0.653,9,67.5,13.1,84,35,43,6.15,28.99,31.17,0,260.90999999999997,229.73999999999995
